"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","accuracy","view_history","success","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","stimulus","datetime","subjectID","curr_triallist","trial_no","timeout","failed_images","failed_audio","failed_video","image_index","category","blur","reps","correct","running_score"
"1710","982","true","chrome","140.0.0","false","Mac OS","true","60.01","true","true","browser-check","0","1010","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","1","127269","0.0-1.0","126240","{""P0_Q0"":""903876258"",""P0_Q1"":""19"",""P1_Q0"":""Female"",""P1_Q1"":""Not Hispanic or Latino"",""P1_Q2"":""Black or African American"",""P1_Q3"":""Normal"",""P1_Q4"":""Right-Handed""}","[]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","2","426734","0.0-2.0","299465","","","[{""page_index"":0,""viewing_time"":6728},{""page_index"":1,""viewing_time"":271013},{""page_index"":2,""viewing_time"":14136},{""page_index"":3,""viewing_time"":7588}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","430019","0.0-3.0","2282","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","virtual-chinrest","4","509285","0.0-4.0","79266","","","","","85.6","53.98","307.24564602692396","3.5885805692077484","477.61","10.241521534230799","30","1.6468907095778964","57","35.666666666666664","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","713842","0.0-5.0","204557","","","[{""page_index"":0,""viewing_time"":14423},{""page_index"":1,""viewing_time"":71614},{""page_index"":2,""viewing_time"":1592},{""page_index"":1,""viewing_time"":1798},{""page_index"":2,""viewing_time"":16841},{""page_index"":3,""viewing_time"":3450},{""page_index"":4,""viewing_time"":6214},{""page_index"":5,""viewing_time"":7998},{""page_index"":6,""viewing_time"":80627}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","760898","0.0-6.0","47053","0","","","","","","","","","","","","","","start_practice","Tue Oct 07 2025 21:16:46 GMT-0400 (Eastern Daylight Time)","27737","","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","760898","0.0-7.0","","","","","true","","","","","","","","","","","preload","","","0","0","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","8","761201","0.0-8.0","null","null","","","","","","","","","","","","","","fixation","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","9","761503","0.0-9.0","null","null","","","","","","","","","","","","","","stimulus","","","0","0","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","10","763709","0.0-10.0","2205","knife","","","","","","","","","","","","","","perceptual","","","0","0","","","","","92","knife","1","","1",""
"","","","","","","","","","","","canvas-button-response","11","764998","0.0-11.0","1289","7","","","","","","","","","","","","","","confidence","","","0","0","","","","","","","","","","1"
"","","","","","","","","","","","html-keyboard-response","12","766000","0.0-12.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 07 2025 21:17:37 GMT-0400 (Eastern Daylight Time)","27737","0","0","","","","","","","","","",""
"","","","","","","","","","","","preload","13","766000","0.0-13.0","","","","","true","","","","","","","","","","","preload","","","0","1","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","14","766302","0.0-14.0","null","null","","","","","","","","","","","","","","fixation","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","15","766603","0.0-15.0","null","null","","","","","","","","","","","","","","stimulus","","","0","1","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","16","768077","0.0-16.0","1473","train","","","","","","","","","","","","","","perceptual","","","0","1","","","","","62","train","1","","1",""
"","","","","","","","","","","","canvas-button-response","17","768835","0.0-17.0","758","10","","","","","","","","","","","","","","confidence","","","0","1","","","","","","","","","","2"
"","","","","","","","","","","","html-keyboard-response","18","769837","0.0-18.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 07 2025 21:17:41 GMT-0400 (Eastern Daylight Time)","27737","0","1","","","","","","","","","",""
"","","","","","","","","","","","preload","19","769837","0.0-19.0","","","","","true","","","","","","","","","","","preload","","","0","2","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","20","770139","0.0-20.0","null","null","","","","","","","","","","","","","","fixation","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","21","770441","0.0-21.0","null","null","","","","","","","","","","","","","","stimulus","","","0","2","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","22","771736","0.0-22.0","1295","house","","","","","","","","","","","","","","perceptual","","","0","2","","","","","2","house","1","","1",""
"","","","","","","","","","","","canvas-button-response","23","772639","0.0-23.0","902","10","","","","","","","","","","","","","","confidence","","","0","2","","","","","","","","","","3"
"","","","","","","","","","","","html-keyboard-response","24","773641","0.0-24.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 07 2025 21:17:44 GMT-0400 (Eastern Daylight Time)","27737","0","2","","","","","","","","","",""
"","","","","","","","","","","","preload","25","773641","0.0-25.0","","","","","true","","","","","","","","","","","preload","","","0","3","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","26","773943","0.0-26.0","null","null","","","","","","","","","","","","","","fixation","","","0","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","27","774245","0.0-27.0","null","null","","","","","","","","","","","","","","stimulus","","","0","3","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","28","775114","0.0-28.0","868","bridge","","","","","","","","","","","","","","perceptual","","","0","3","","","","","42","bridge","1","","1",""
"","","","","","","","","","","","canvas-button-response","29","775976","0.0-29.0","862","10","","","","","","","","","","","","","","confidence","","","0","3","","","","","","","","","","4"
"","","","","","","","","","","","html-keyboard-response","30","776978","0.0-30.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 07 2025 21:17:48 GMT-0400 (Eastern Daylight Time)","27737","0","3","","","","","","","","","",""
"","","","","","","","","","","","preload","31","776978","0.0-31.0","","","","","true","","","","","","","","","","","preload","","","0","4","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","32","777280","0.0-32.0","null","null","","","","","","","","","","","","","","fixation","","","0","4","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","33","777582","0.0-33.0","null","null","","","","","","","","","","","","","","stimulus","","","0","4","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","34","778756","0.0-34.0","1174","bed","","","","","","","","","","","","","","perceptual","","","0","4","","","","","32","bed","1","","1",""
"","","","","","","","","","","","canvas-button-response","35","779820","0.0-35.0","1064","10","","","","","","","","","","","","","","confidence","","","0","4","","","","","","","","","","5"
"","","","","","","","","","","","html-keyboard-response","36","780822","0.0-36.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 07 2025 21:17:52 GMT-0400 (Eastern Daylight Time)","27737","0","4","","","","","","","","","",""
"","","","","","","","","","","","preload","37","780823","0.0-37.0","","","","","true","","","","","","","","","","","preload","","","0","5","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","38","781124","0.0-38.0","null","null","","","","","","","","","","","","","","fixation","","","0","5","","","","","","","","","",""
"","","","","","","","","","","","canvas-keyboard-response","39","781426","0.0-39.0","null","null","","","","","","","","","","","","","","stimulus","","","0","5","","","","","","","","","",""
"","","","","","","","","","","","canvas-button-response","40","785334","0.0-40.0","3908","house","","","","","","","","","","","","","","perceptual","","","0","5","","","","","52","flower","1","","0",""
"","","","","","","","","","","","canvas-button-response","41","786075","0.0-41.0","741","3","","","","","","","","","","","","","","confidence","","","0","5","","","","","","","","","","5"
"","","","","","","","","","","","html-keyboard-response","42","787077","0.0-42.0","null","null","","","","","","","","","","","","","","feedback","Tue Oct 07 2025 21:17:58 GMT-0400 (Eastern Daylight Time)","27737","0","5","","","","","","","","","",""
"","","","","","","","","","","","preload","43","787077","0.0-43.0","","","","","true","","","","","","","","","","","preload","","","0","6","false","[]","[]","[]","","","","","",""
