subj_no,blur,acc,conf,p_rt,c_rt
1,6.0,0.7475,6.4175,1139.345,761.4925
1,10.0,0.59,5.58,1179.57,738.335
2,6.0,0.815,7.8775,870.4975,580.9725
2,10.0,0.7,6.6375,1067.4775,586.8225
3,6.0,0.8125,7.855,1065.52,670.38
3,10.0,0.6575,6.795,1199.3875,660.9525
4,6.0,0.7875,6.86,1088.965,460.8775
4,10.0,0.615,6.825,1525.1425,469.45
5,6.0,0.4,6.565,798.7325,573.7625
5,10.0,0.2875,6.4325,915.775,741.1575
6,6.0,0.7075,6.03,1145.3825,875.085
6,10.0,0.545,4.9825,1218.815,881.265
7,6.0,0.7425,6.1275,1425.295,938.08
7,10.0,0.54,4.4075,1417.1175,961.145
8,6.0,0.85,6.935,1217.87,647.1225
8,10.0,0.71,6.26,1331.99,692.4525
9,6.0,0.74,7.46,2045.09,1085.2775
9,10.0,0.6675,6.7125,1858.62,1041.0725
10,6.0,0.7275,7.76,1969.99,766.9375
10,10.0,0.5675,6.3325,2135.3975,820.37
11,6.0,0.6975,5.3525,1501.4925,1001.87
11,10.0,0.5475,4.315,1381.555,983.0425
12,6.0,0.74,8.3425,1272.8475,502.765
12,10.0,0.6225,7.5775,1482.3775,483.51
13,6.0,0.4625,3.7225,929.095,421.8825
13,10.0,0.36,3.6075,1824.89,404.145
14,6.0,0.7475,7.9025,1832.4725,598.3575
14,10.0,0.6525,7.4425,1598.54,586.39
15,6.0,0.8425,8.21,1221.7075,930.9175
15,10.0,0.6875,6.8175,1553.775,1067.89
16,6.0,0.725,6.8725,1672.625,1147.115
16,10.0,0.55,5.0825,1814.0525,1126.1225
17,6.0,0.5825,3.505,1091.48,548.385
17,10.0,0.3425,2.2175,1064.74,552.3075
18,6.0,0.555,5.1125,1013.2725,721.04
18,10.0,0.445,3.8975,1050.6875,701.3225
19,6.0,0.8025,8.1075,1111.825,768.52
19,10.0,0.7125,6.9325,1271.2675,833.56
20,6.0,0.7825,6.41,1009.73,558.1375
20,10.0,0.6175,5.835,1184.2075,559.5125
21,6.0,0.845,8.8775,1298.57,688.3125
21,10.0,0.7225,7.995,1894.9125,718.375
22,6.0,0.545,5.87,801.285,594.585
22,10.0,0.365,4.2675,740.5425,548.34
23,6.0,0.63,5.5075,1183.3325,611.88
23,10.0,0.4525,4.4825,1154.8225,623.685
24,6.0,0.7075,6.425,1120.3125,528.1875
24,10.0,0.5375,5.28,1190.27,531.23
25,6.0,0.835,7.15,1435.62,1005.515
25,10.0,0.745,5.375,1510.3375,1067.245
26,6.0,0.8425,7.34,1082.6725,771.0525
26,10.0,0.675,6.08,1377.7025,750.875
27,6.0,0.765,6.105,1273.745,1089.1925
27,10.0,0.5925,4.76,1343.5075,892.145
28,6.0,0.785,8.3125,1232.8525,764.5775
28,10.0,0.6225,7.44,1338.47,731.9425
29,6.0,0.805,7.505,1337.87,805.0825
29,10.0,0.625,6.445,1507.5425,793.5975
30,6.0,0.76,8.1025,1080.9275,737.285
30,10.0,0.545,6.76,1320.93,722.12
31,6.0,0.765,6.445,1326.0375,744.2375
31,10.0,0.5975,5.5875,1524.6275,783.255
32,6.0,0.8225,7.6225,1315.445,851.665
32,10.0,0.6875,6.3975,1547.7925,1110.24
33,6.0,0.79,6.1075,941.6625,579.205
33,10.0,0.665,5.3125,1039.6975,593.8225
34,6.0,0.805,7.86,1371.6675,929.4425
34,10.0,0.625,6.0425,1622.96,984.1625
35,6.0,0.7275,7.31,1363.555,650.5225
35,10.0,0.535,6.0925,1385.3,667.8275
36,6.0,0.785,5.7325,1298.505,665.3175
36,10.0,0.615,5.165,1253.03,677.9125
37,6.0,0.725,8.54,1312.42,680.04
37,10.0,0.5725,7.98,1469.135,703.5375
38,6.0,0.73,5.6225,1096.3025,908.2175
38,10.0,0.605,4.49,1209.18,931.01
39,6.0,0.7925,6.9925,1132.9775,707.74
39,10.0,0.67,5.9,1070.6275,679.595
40,6.0,0.7825,8.3,1455.085,826.75
40,10.0,0.6275,6.9,1340.1625,834.9425
41,6.0,0.8225,7.7425,1285.4575,760.67
41,10.0,0.6625,6.5325,1271.37,773.6775
42,6.0,0.745,6.865,2274.245,1629.8325
42,10.0,0.575,5.08,3631.555,1893.4125
43,6.0,0.805,5.865,1035.07,904.0375
43,10.0,0.69,4.4875,1177.78,902.09
44,6.0,0.7875,6.905,1799.2625,954.83
44,10.0,0.6025,5.135,1825.0825,872.2725
45,6.0,0.6925,6.235,1062.9125,552.2175
45,10.0,0.5,5.075,973.7075,559.865
46,6.0,0.5175,4.27,928.6025,669.0725
46,10.0,0.3225,2.9825,976.875,654.4325
47,6.0,0.7975,8.2575,1087.055,727.985
47,10.0,0.645,7.3575,1327.9075,712.5275
48,6.0,0.7725,7.6175,667.565,442.72
48,10.0,0.5575,5.4975,708.4875,485.5175
49,6.0,0.785,7.5225,1775.3475,1052.505
49,10.0,0.6625,6.1975,2468.0075,852.565
50,6.0,0.7675,6.895,1357.655,1393.115
50,10.0,0.58,4.9775,2406.7625,1013.4025
51,6.0,0.8075,7.88,822.5175,451.215
51,10.0,0.635,6.5975,899.1725,488.9
52,6.0,0.82,9.035,1015.9775,567.2975
52,10.0,0.6875,8.2625,1159.36,586.44
53,6.0,0.6575,4.2875,1463.6325,666.3775
53,10.0,0.4575,2.6175,1025.3625,638.6725
54,6.0,0.7725,9.2375,903.3275,568.5425
54,10.0,0.5925,8.6575,1062.175,561.945
55,6.0,0.845,5.9775,912.9725,465.2625
55,10.0,0.68,5.1975,1006.1325,502.3775
56,6.0,0.775,4.8075,1168.615,700.475
56,10.0,0.7025,4.2025,1193.975,667.405
57,6.0,0.7825,6.9925,1586.775,1196.045
57,10.0,0.6625,5.7675,1696.42,1274.445
58,6.0,0.7725,6.72,1224.8875,640.1475
58,10.0,0.54,5.25,1431.925,650.79
59,6.0,0.775,7.52,1444.0875,977.3225
59,10.0,0.5975,6.13,1688.68,1002.5075
60,6.0,0.58,6.505,2491.1925,450.22
60,10.0,0.4325,5.4075,1174.025,473.9925
